original_caption,new_caption,contentUrl
"Kyiv, ukraine – february  7, 2017. trend, style. fashion industry. catwalk. fashion show. model. models. trend clothes are shown to spectators at the fashion show. model on the catwalk ","Models showcase trendy clothing on the catwalk during a fashion show in Kyiv, Ukraine on February 7, 2017.",https://ak.picdn.net/shutterstock/videos/1011830939/preview/stock-footage-kyiv-ukraine-february-trend-style-fashion-industry-catwalk-fashion-show-model.mp4
Kick scooter animated cartoon icon on green screen background - colorful kids scooter 4k animation,An animated cartoon icon of a colorful kick scooter on a green screen background.,https://ak.picdn.net/shutterstock/videos/1055386100/preview/stock-footage-kick-scooter-animated-cartoon-icon-on-green-screen-background-colorful-kids-scooter-k-animation.mp4
"Aerial footage of river flowing through unspoilt wilderness. kenya, east africa","A river flows through untouched wilderness in Kenya, East Africa.",https://ak.picdn.net/shutterstock/videos/28298323/preview/stock-footage-aerial-footage-of-river-flowing-through-unspoilt-wilderness-kenya-east-africa.mp4
"4k. time lapse of the night sky with clouds and stars passing by behind mountain. cave city bakla vi-xiv centuries, crimea, russia. ultra hd, 4096x2730
","The night sky with passing clouds and stars is captured in a time lapse behind a mountain in the Bakla Vi-XIV centuries cave city in Crimea, Russia. The footage is in ultra HD with a resolution of 4096x2730.",https://ak.picdn.net/shutterstock/videos/7321873/preview/stock-footage--k-time-lapse-of-the-night-sky-with-clouds-and-stars-passing-by-behind-mountain-cave-city-bakla.mp4
Aerial view eagle fly surround the harvester in paddy field.,An eagle flies around a harvester in a paddy field.,https://ak.picdn.net/shutterstock/videos/1038739796/preview/stock-footage-aerial-view-eagle-fly-surround-the-harvester-in-paddy-field.mp4
Peaceful girl doing yoga meditate virabhasana sunrise coast slow motion,A peaceful girl meditates and does yoga in Virabhasana pose on the coast during sunrise in slow motion.,https://ak.picdn.net/shutterstock/videos/27646996/preview/stock-footage-peaceful-girl-doing-yoga-meditate-virabhasana-sunrise-coast-slow-motion.mp4
Chef with recipe book watching young cook preparing dish in the kitchen,The chef watches as a young cook prepares a dish in the kitchen.,https://ak.picdn.net/shutterstock/videos/23752669/preview/stock-footage-chef-with-recipe-book-watching-young-cook-preparing-dish-in-the-kitchen.mp4
Man walking in deep snow under the branches,A man walks through deep snow under the branches.,https://ak.picdn.net/shutterstock/videos/31391239/preview/stock-footage-man-walking-in-deep-snow-under-the-branches.mp4
"Joyful girl in dress dancing inside big rubber ring with passport and eu flag, holding fresh juice, relaxing on tourist tour in europe, summer vacation, beach party. indoor studio shot isolated","A girl in a dress dances inside a big rubber ring, holding a fresh juice, and relaxing on a tourist tour in Europe.",https://ak.picdn.net/shutterstock/videos/1055044538/preview/stock-footage-joyful-girl-in-dress-dancing-inside-big-rubber-ring-with-passport-and-eu-flag-holding-fresh-juice.mp4
 konigsplatz in munich,The Konigsplatz in Munich.,https://ak.picdn.net/shutterstock/videos/20447956/preview/stock-footage--konigsplatz-in-munich.mp4
3d render of inky injections into water with luma matte. green ink on black background 6,Green ink injections onto a black background.,https://ak.picdn.net/shutterstock/videos/1016180197/preview/stock-footage--d-render-of-inky-injections-into-water-with-luma-matte-green-ink-on-black-background.mp4
"Mighty stream of white water, foamy surface of a water stream, slow motion","A powerful stream of white water with a foamy surface, captured in slow motion.",https://ak.picdn.net/shutterstock/videos/1038242612/preview/stock-footage-mighty-stream-of-white-water-foamy-surface-of-a-water-stream-slow-motion.mp4
Little girls having fun at tropical beach playing together at shallow water.,Little girls are having fun playing together at a tropical beach in shallow water.,https://ak.picdn.net/shutterstock/videos/1007754682/preview/stock-footage-little-girls-having-fun-at-tropical-beach-playing-together-at-shallow-water.mp4
Fist patting down sand in an orange bucket,A fist pats down sand in an orange bucket.,https://ak.picdn.net/shutterstock/videos/13383371/preview/stock-footage-fist-patting-down-sand-in-an-orange-bucket.mp4
"Cooking, juicy steak fried on an open fire on the grill",A juicy steak being fried on an open fire grill.,https://ak.picdn.net/shutterstock/videos/25728353/preview/stock-footage-cooking-juicy-steak-fried-on-an-open-fire-on-the-grill.mp4
Sad woman crying during storm on the beach. hair fluttering in the wind,"A woman cries on the beach during a storm, with her hair fluttering in the wind.",https://ak.picdn.net/shutterstock/videos/18389737/preview/stock-footage-sad-woman-crying-during-storm-on-the-beach-hair-fluttering-in-the-wind.mp4
Mom's baby girl teaches cycling,A baby girl is being taught how to ride a bike by her mom.,https://ak.picdn.net/shutterstock/videos/1042790425/preview/stock-footage-mom-s-baby-girl-teaches-cycling.mp4
Gray skies form backdrop for a jet skier passing an anchored sailboat on calm seas.,A jet skier passes by an anchored sailboat on calm seas with gray skies in the background.,https://ak.picdn.net/shutterstock/videos/7638733/preview/stock-footage-gray-skies-form-backdrop-for-a-jet-skier-passing-an-anchored-sailboat-on-calm-seas.mp4
"Hastings, united kingdom. september 28 2017. hastings west cliff funicular times lapse. 
","A time lapse of the Hastings West Cliff Funicular in the United Kingdom on September 28, 2017.",https://ak.picdn.net/shutterstock/videos/1045144609/preview/stock-footage-hastings-united-kingdom-september-hastings-west-cliff-funicular-times-lapse.mp4
Charging level indicator. four round green leds placed vertically flashing one by one in the dark. isolated on black. close-up. macro.,"A close-up shot of four green LEDs placed vertically, flashing one by one in the dark. The LEDs are part of a charging level indicator and are isolated on a black background.",https://ak.picdn.net/shutterstock/videos/1016294572/preview/stock-footage-charging-level-indicator-four-round-green-leds-placed-vertically-flashing-one-by-one-in-the-dark.mp4
Plexus of abstract red and blue geometrical lines with moving triangles and dots on a black background. loop animations.,Abstract red and blue geometrical lines form a plexus with moving triangles and dots on a black background. The animation loops.,https://ak.picdn.net/shutterstock/videos/1006948675/preview/stock-footage-plexus-of-abstract-red-and-blue-geometrical-lines-with-moving-triangles-and-dots-on-a-black.mp4
Fun red bull - 3d animation,A 3D animation of a fun Red Bull.,https://ak.picdn.net/shutterstock/videos/34114264/preview/stock-footage-fun-red-bull-d-animation.mp4
"Pushkar, rajasthan, india - nov 14: nomadic herders and camels in rural setting on november 14, 2018 in pushkar, rajasthan, india","Nomadic herders and their camels are seen in a rural setting in Pushkar, Rajasthan, India on November 14, 2018.",https://ak.picdn.net/shutterstock/videos/1026294374/preview/stock-footage-pushkar-rajasthan-india-nov-nomadic-herders-and-camels-in-rural-setting-on-november.mp4
"Engine boats with passengers sail and splash water, sun, inle lake, myanmar",Passenger boats with engines sail and create splashes in the water under the sun on Inle Lake in Myanmar.,https://ak.picdn.net/shutterstock/videos/30741802/preview/stock-footage-engine-boats-with-passengers-sail-and-splash-water-sun-inle-lake-myanmar.mp4
The soldier with the crossbow and raven. fantasy. the post apocalypse.,"In a fantasy post-apocalyptic setting, a soldier holds a crossbow while a raven perches nearby.",https://ak.picdn.net/shutterstock/videos/14549971/preview/stock-footage-the-soldier-with-the-crossbow-and-raven-fantasy-the-post-apocalypse.mp4
Digital composite video of hope text against three generation family walking together in the garden. autism awareness concept,"A digital composite video showing the word ""hope"" with a three generation family walking together in the garden, representing the concept of autism awareness.",https://ak.picdn.net/shutterstock/videos/1058669542/preview/stock-footage-digital-composite-video-of-hope-text-against-three-generation-family-walking-together-in-the-garden.mp4
Old decrepit house in the center of the city surrounded by new buildings,"An old, decrepit house is situated in the center of the city, surrounded by new buildings.",https://ak.picdn.net/shutterstock/videos/16840324/preview/stock-footage-old-decrepit-house-in-the-center-of-the-city-surrounded-by-new-buildings.mp4
Aerial view from a drone of loch lomond & the trossachs national park - summer 2018 - 4k footage - flat grading,An aerial drone captures footage of Loch Lomond & the Trossachs National Park during the summer of 2018.,https://ak.picdn.net/shutterstock/videos/1018688875/preview/stock-footage-aerial-view-from-a-drone-of-loch-lomond-the-trossachs-national-park-summer-k-footage.mp4
"Kuala lumpur, malaysia - march, 2017: movement of monorail train on the background of modern building in kuala lumpur, malaysia on march, 2017.","In March 2017, a monorail train moves in front of a modern building in Kuala Lumpur, Malaysia.",https://ak.picdn.net/shutterstock/videos/1007417995/preview/stock-footage-kuala-lumpur-malaysia-march-movement-of-monorail-train-on-the-background-of-modern.mp4
"University of treviso, italy",The University of Treviso is located in Italy.,https://ak.picdn.net/shutterstock/videos/3922568/preview/stock-footage-university-of-treviso-italy.mp4
"Typical italian focaccia and is salted and oiled in slowmotion, on a wooden board.
concept of authenticity and healthy food. flavors in the kitchen made in italy. bread.","Focaccia bread is salted and oiled on a wooden board in slow motion, representing authentic and healthy Italian cuisine.",https://ak.picdn.net/shutterstock/videos/21885613/preview/stock-footage-typical-italian-focaccia-and-is-salted-and-oiled-in-slowmotion-on-a-wooden-board-concept-of.mp4
Green grape plants in the middle of nature,Grape plants growing in a natural environment with green foliage.,https://ak.picdn.net/shutterstock/videos/1054547105/preview/stock-footage-green-grape-plants-in-the-middle-of-nature.mp4
Portrait of artist woman singer vocalist in headphones emotionally singing in microphone recording music song in professional sound studio. creating new melody on musical session at recording company.,An artist woman singer emotionally sings into a microphone while recording music in a professional sound studio.,https://ak.picdn.net/shutterstock/videos/1039983113/preview/stock-footage-portrait-of-artist-woman-singer-vocalist-in-headphones-emotionally-singing-in-microphone-recording.mp4
"London - may, 2017: blocks of council flats on a london street",There are blocks of council flats on a London street in May 2017.,https://ak.picdn.net/shutterstock/videos/1008744743/preview/stock-footage-london-may-blocks-of-council-flats-on-a-london-street.mp4
"Penang, malaysia-march 12,2018: passenger walk get in to the aircraft when boarding time ",Passengers walking and boarding the aircraft.,https://ak.picdn.net/shutterstock/videos/1008828755/preview/stock-footage-penang-malaysia-march-passenger-walk-get-in-to-the-aircraft-when-boarding-time.mp4
Climbers go up to the mountain pass,The climbers ascend to the mountain pass.,https://ak.picdn.net/shutterstock/videos/26932234/preview/stock-footage-climbers-go-up-to-the-mountain-pass.mp4
Woman showing disgust for bad smell or taste on yellow background at studio. girl with curly hair in a denim suit with shorts and a red t-shirt. concept of emotions,"A woman with curly hair in a denim suit and red t-shirt expresses disgust for a bad smell or taste on a yellow background in a studio, representing the concept of emotions.",https://ak.picdn.net/shutterstock/videos/1036113260/preview/stock-footage-woman-showing-disgust-for-bad-smell-or-taste-on-yellow-background-at-studio-girl-with-curly-hair.mp4
Glass transparent shrimp cleaner underwater red sea. relax video about marine nature on background of beautiful lagoon.,"A video showcasing the marine nature of the Red Sea, with a focus on a transparent shrimp cleaner in a beautiful lagoon.",https://ak.picdn.net/shutterstock/videos/34080607/preview/stock-footage-glass-transparent-shrimp-cleaner-underwater-red-sea-relax-video-about-marine-nature-on-background.mp4
Vervet monkey sitting in tree at dusk scratching head with foot.,"A Vervet monkey sits in a tree at dusk, scratching its head with its foot.",https://ak.picdn.net/shutterstock/videos/21215644/preview/stock-footage-vervet-monkey-sitting-in-tree-at-dusk-scratching-head-with-foot.mp4
"Colorful waves
beautiful sailing in colorful orange waves
",The colorful waves make for a beautiful sailing experience.,https://ak.picdn.net/shutterstock/videos/11805683/preview/stock-footage-colorful-waves-beautiful-sailing-in-colorful-orange-waves.mp4
Timelapse sunset 20,The sunset is captured in a timelapse.,https://ak.picdn.net/shutterstock/videos/5986145/preview/stock-footage-timelapse-sunset.mp4
4k uhd video of professional tattoo artist makes a tattoo on a young girl's hand. ,A professional tattoo artist creates a tattoo on a young girl's hand in 4K UHD video.,https://ak.picdn.net/shutterstock/videos/16514914/preview/stock-footage--k-uhd-video-of-professional-tattoo-artist-makes-a-tattoo-on-a-young-girl-s-hand.mp4
Lines background purple 2 loop ,A looping background with purple lines.,https://ak.picdn.net/shutterstock/videos/14060891/preview/stock-footage-lines-background-purple-loop.mp4
"Parents sit on chairs and look at tranquil sea, children sit with back on table on beach between parents and play with peddles",Parents sit on chairs and enjoy the peaceful view of the sea while their children play with pebbles on the beach between them.,https://ak.picdn.net/shutterstock/videos/1026109505/preview/stock-footage-parents-sit-on-chairs-and-look-at-tranquil-sea-children-sit-with-back-on-table-on-beach-between.mp4
Summer time colorful led sign,A colorful LED sign for summertime.,https://ak.picdn.net/shutterstock/videos/1016050486/preview/stock-footage-summer-time-colorful-led-sign.mp4
"Peru - july 03, 2014: big wave world tour- wave rolling in off the coast of peru.","A big wave rolls in off the coast of Peru during the Big Wave World Tour on July 3, 2014.",https://ak.picdn.net/shutterstock/videos/8104549/preview/stock-footage-peru-july-big-wave-world-tour-wave-rolling-in-off-the-coast-of-peru.mp4
Girl drinking iced tea with peach.,A girl is drinking iced tea with peach.,https://ak.picdn.net/shutterstock/videos/18012595/preview/stock-footage-girl-drinking-iced-tea-with-peach.mp4
4k - red flasher. defocused,A defocused red flasher.,https://ak.picdn.net/shutterstock/videos/11894501/preview/stock-footage--k-red-flasher-defocused.mp4
Bodrum holiday resort seashore marina,The marina at the Bodrum holiday resort by the seashore.,https://ak.picdn.net/shutterstock/videos/1043894335/preview/stock-footage-bodrum-holiday-resort-seashore-marina.mp4
Blue fluorescent ink on a black background dissolves in water. beautiful effect modeled on a computer. 3d render with luma matte for use as an alpha channel for visual effects. many injections 8,The beautiful effect of blue fluorescent ink dissolving in water is modeled on a computer and shown on a black background. The footage includes many injections and can be used as an alpha channel for visual effects.,https://ak.picdn.net/shutterstock/videos/1019973910/preview/stock-footage-blue-fluorescent-ink-on-a-black-background-dissolves-in-water-beautiful-effect-modeled-on-a.mp4
Peninsula on the lake,A peninsula located on a lake.,https://ak.picdn.net/shutterstock/videos/1021328836/preview/stock-footage-peninsula-on-the-lake.mp4
A flight over a beautiful stream in the forest,Flying over a beautiful stream in the forest.,https://ak.picdn.net/shutterstock/videos/32164051/preview/stock-footage-a-flight-over-a-beautiful-stream-in-the-forest.mp4
Watering cactus in the morning.,Someone is watering a cactus in the morning.,https://ak.picdn.net/shutterstock/videos/34575037/preview/stock-footage-watering-cactus-in-the-morning.mp4
Dying poison arrow frog,A poison arrow frog is dying.,https://ak.picdn.net/shutterstock/videos/1022385598/preview/stock-footage-dying-poison-arrow-frog.mp4
"Medium shot of man watching woman shopping for vintage dress / provo, utah, united states","A man watches as a woman shops for a vintage dress in Provo, Utah, United States.",https://ak.picdn.net/shutterstock/videos/22770757/preview/stock-footage-medium-shot-of-man-watching-woman-shopping-for-vintage-dress-provo-utah-united-states.mp4
Attractive young couple at home laughing at funny internet joke online using digital tablet having fun,"An attractive young couple is at home, laughing at a funny internet joke on a digital tablet and having fun.",https://ak.picdn.net/shutterstock/videos/25279142/preview/stock-footage-attractive-young-couple-at-home-laughing-at-funny-internet-joke-online-using-digital-tablet-having.mp4
"1970s: drivers practice offensive driving techniques in a parking lot, in 1976.","In 1976, drivers practiced offensive driving techniques in a parking lot during the 1970s.",https://ak.picdn.net/shutterstock/videos/27489598/preview/stock-footage--s-drivers-practice-offensive-driving-techniques-in-a-parking-lot-in.mp4
"Sunset in the icy lake baikal, irkutsk region, russia. full hd
",The sun sets over the icy Lake Baikal in the Irkutsk region of Russia.,https://ak.picdn.net/shutterstock/videos/17921509/preview/stock-footage-sunset-in-the-icy-lake-baikal-irkutsk-region-russia-full-hd.mp4
A small animation for the design video about redcurrant,An animation created for a design video featuring redcurrants.,https://ak.picdn.net/shutterstock/videos/1016382409/preview/stock-footage-a-small-animation-for-the-design-video-about-redcurrant.mp4
Abstract background with waves and flicker particles on waving stripes. animation of seamless loop.,"An animated abstract background with waving stripes, waves, and flickering particles in a seamless loop.",https://ak.picdn.net/shutterstock/videos/25150802/preview/stock-footage-abstract-background-with-waves-and-flicker-particles-on-waving-stripes-animation-of-seamless-loop.mp4
Time lapse of sky clouds storm,"The sky clouds move quickly in a time lapse, resembling a storm.",https://ak.picdn.net/shutterstock/videos/1034115734/preview/stock-footage-time-lapse-of-sky-clouds-storm.mp4
Happy young caucasian baby boy playing toy bucket spade sandy beach with father while mother takes photograph sun lens flare shot on red epic,"A happy young Caucasian baby boy plays with a toy bucket and spade on a sandy beach while his father joins him, and his mother takes a photograph with the sun creating a lens flare.",https://ak.picdn.net/shutterstock/videos/6758443/preview/stock-footage-happy-young-caucasian-baby-boy-playing-toy-bucket-spade-sandy-beach-with-father-while-mother-takes.mp4
A young woman having dental treatment,A young woman is receiving dental treatment.,https://ak.picdn.net/shutterstock/videos/24785186/preview/stock-footage-a-young-woman-having-dental-treatment.mp4
"Dubai/uae - 11/20/2019: automatic dubai metro train as modern overground railway running to business bay station alongside the sheikh zayed road. modern with skyscrapers architecture of dubai, uae","An automatic Dubai metro train runs alongside Sheikh Zayed Road, passing through the modern skyscrapers of Dubai, UAE, on its way to Business Bay station.",https://ak.picdn.net/shutterstock/videos/1042917148/preview/stock-footage-dubai-uae-automatic-dubai-metro-train-as-modern-overground-railway-running-to.mp4
Animation of snow falling and sky with white clouds in the background. christmas festivity celebration concept digitally generated image.,Snow falls against a white cloud-filled sky in an animated Christmas celebration.,https://ak.picdn.net/shutterstock/videos/1062081217/preview/stock-footage-animation-of-snow-falling-and-sky-with-white-clouds-in-the-background-christmas-festivity.mp4
Realistic fire smoke. explosion smoke. floor fog smoke floor fog from various directions,Realistic fire smoke and explosion smoke fill the floor with fog from various directions.,https://ak.picdn.net/shutterstock/videos/1028070953/preview/stock-footage-realistic-fire-smoke-explosion-smoke-floor-fog-smoke-floor-fog-from-various-directions.mp4
Man with vaping mod exhaling steam at black studio background. bearded guy smoking e-cigarette to quit tobacco. vapor and alternative nicotine free smoking concept,A bearded man exhales steam from a vaping mod in a black studio background. This represents the concept of vapor and alternative nicotine-free smoking.,https://ak.picdn.net/shutterstock/videos/1026494993/preview/stock-footage-man-with-vaping-mod-exhaling-steam-at-black-studio-background-bearded-guy-smoking-e-cigarette-to.mp4
"A cute baby clicks smartphone, sitting on the large bed, slow motion",A cute baby sitting on a large bed clicks a smartphone in slow motion.,https://ak.picdn.net/shutterstock/videos/1034165708/preview/stock-footage-a-cute-baby-clicks-smartphone-sitting-on-the-large-bed-slow-motion.mp4
"Girl celebrate halloween with burning pumpkins, have fun, rejoices. pretty sexual devil woman beckons by hand, beckoning, calls, invites for halloween party, flirts, shy","A girl celebrates Halloween by burning pumpkins and having fun. She portrays a pretty sexual devil woman as she beckons with her hand, calls, and invites people to a Halloween party. She flirts and appears shy.",https://ak.picdn.net/shutterstock/videos/1017128359/preview/stock-footage-girl-celebrate-halloween-with-burning-pumpkins-have-fun-rejoices-pretty-sexual-devil-woman.mp4
Hair follicles in the cup close-up. baldness treatment. hair transplant. surgeons in the operating room carry out hair transplant surgery. surgical technique that moves hair follicles from a part of.,"Surgeons in an operating room perform a hair transplant surgery by moving hair follicles from one part of the body to another. The footage shows a close-up of hair follicles in a cup, which is related to baldness treatment.",https://ak.picdn.net/shutterstock/videos/1036856636/preview/stock-footage-hair-follicles-in-the-cup-close-up-baldness-treatment-hair-transplant-surgeons-in-the-operating.mp4
"Timelapse of ponte del diavolo, also known as ponte della maddalena, a bridge crossing the serchio river, borgo a mozzano, tuscany, italy","A time-lapse of the Ponte del Diavolo, also known as Ponte della Maddalena, a bridge crossing the Serchio River in Borgo a Mozzano, Tuscany, Italy.",https://ak.picdn.net/shutterstock/videos/1038007616/preview/stock-footage-timelapse-of-ponte-del-diavolo-also-known-as-ponte-della-maddalena-a-bridge-crossing-the-serchio.mp4
"Strasbourg, france - circa 2016: driving on the road - strasbourg robertsau quarter covered with snow - point of view of driver from inside the car","Driving through the snow-covered Strasbourg Robertsau quarter in France, as seen from the driver's point of view inside the car.",https://ak.picdn.net/shutterstock/videos/22400428/preview/stock-footage-strasbourg-france-circa-driving-on-the-road-strasbourg-robertsau-quarter-covered-with.mp4
Rally racing car ice racing,A rally racing car participating in an ice race.,https://ak.picdn.net/shutterstock/videos/1027529744/preview/stock-footage-rally-racing-car-ice-racing.mp4
